,name,Max диаметр сверления (металл),Max диаметр шурупа,Max крутящий момент ,Max размер крепежа,amount_of_reviews,description,Вес нетто,Длина кабеля,Зарядное устройство в комплекте,Количество аккумуляторов в комплекте,Мах диаметр сверления (бетон),Мах диаметр сверления (дерево),Мах диаметр сверления (кирпич),Мощность,Напряжение аккумулятора,Посадочный квадрат,Регулировка глубины завинчивания,Регулировка частоты вращения,Серия аккумулятора,Тип аккумулятора,Тип двигателя,Тип патрона,Упаковка,Частота вращения шпинделя
1285,Дрель-шуруповерт аккумуляторная Pioneer CD-M2012C USP,12 мм,,45 Нм,,1,,0.877 кг,,есть,,,30 мм,,,20 В,,,,,Li-Ion,,,,
1286,Аккумуляторная ударная дрель-шуруповерт TORX CID-21C 9310412,,,,,,Max крутящий момент : 35 Нм,1.17 кг,,есть,,,,,,21 В,,,,,Li-Ion,,,,
1287,Аккумуляторный шуруповерт PROCRAFT PA12Pro с DFR патроном PA12PRODFR,10 мм,,20 Нм,,2,,1.4 кг,,есть,,,20 мм,,,,,,,,Li-Ion,,,,
1288,Аккумуляторная ударная дрель-шуруповерт TORX CID-21 9310411,,,,,,Max крутящий момент : 35 Нм,1.17 кг,,есть,,,,,,21 В,,,,,Li-Ion,,,,
1289,Аккумуляторная дрель-шуруповерт TORX CD-12ACC 9310214,,,,,,Max крутящий момент : 25 Нм,0.9 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1290,Аккумуляторная дрель-шуруповерт TORX CD-12C 2 АКБ 9310213,,,,,,Max крутящий момент : 25 Нм,0.9 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1291,Аккумуляторная дрель-шуруповерт CD-12 TORX 9310212,,,,,,Max крутящий момент : 25 Нм,0.9 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1292,Аккумуляторный шуруповерт TORX CS-12 9310211,,,,,,Max крутящий момент : 22 Нм,0.9 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1293,Аккумуляторная дрель-шуруповерт MOLOT MBD 1820 Li в чемодане 1335569,13 мм,,,,,Max крутящий момент : 50 Нм,3 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1294,Аккумуляторная дрель-шуруповерт MOLOT MBD 1215 Li в чемодане 1335568,10 мм,,,,,Max крутящий момент : 35 Нм,2.5 кг,,есть,,,35 мм,,,12 В,,,,,Li-Ion,,,,
1295,Аккумуляторная дрель-шуруповерт MOLOT MBD 1815-1 DLi 0329136,10 мм,,30 Нм,,2,,2 кг,,есть,,,30 мм,,,18 В,,,,,Li-Ion,,,,
1296,Аккумуляторная дрель-шуруповерт MOLOT MBD 1213 Dli в чемодане 1335567,10 мм,,,,,Max крутящий момент : 32 Нм,,,есть,,,35 мм,,,12 В,,,,,Li-Ion,,,,
1297,Аккумуляторная дрель-шуруповерт MOLOT MBD 1215-1 DLi в коробке 1335613,10 мм,,,,,Max крутящий момент : 25 Нм,1.1 кг,,есть,,,16 мм,,,12 В,,,,,Li-Ion,,,,
1298,Дрель аккумуляторная Elitech ДА 20СЛ2 (E2201.044.01) 205670,10 мм,,,,,Max крутящий момент : 60 Нм,1.2 кг,,есть,,,24 мм,,,20 В,,,,,Li-Ion,,,,
1299,"Аккумуляторная ударная дрель-шуруповерт Dewalt DCD996P1, 18 В, 2250 об/мин, 38250 уд/мин, с АКБ 5 Ач и ЗУ, в кейсе TSTAK DCD996P1-QW",15 мм,,,,,Max крутящий момент : 95 Нм,1.5 кг,,есть,,13 мм,55 мм,,,18 В,,,,,Li-Ion,,,,
1300,Cетевая дрель-шуруповерт MOLOT MDR10130019,10 мм,6 мм,18 Нм,,1,,1.4 кг,2 м,,,10 мм,20 мм,,300 Вт,,,нет,,,,,,,
1301,"Ударная бесщеточная дрель-шуруповерт DEWALT 2 скорости, 2 АКБ 18 В XR Li-Ion DCD805E2T-QW",13 мм,,90 Нм,,17,Дополнительные вентиляционные отверстия – защита от перегрева при долгой работе,1.34 кг,,есть,,,55 мм,,,18 В,,,,,Li-Ion,,,,
1302,Шуруповерт для зимней рыбалки SUMITACHI 10101,,,120 Нм,,9,,1.64 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1303,Аккумуляторная дрель-шуруповерт BORT BAB-21-BLK 93413526,10 мм,,50 Нм,,31,Бесщеточный двигатель обеспечивает долгий срок службы,1.1 кг,,есть,,,23 мм,,,21 В,,,,,Li-Ion,,,,
1304,Аккумуляторная дрель-шуруповерт Калибр ДА-12/2 Li-Ion 00000076621,10 мм,,15 Нм,,9,,0.96 кг,,есть,,,26 мм,,,12 В,,,,,Li-Ion,,,,
1305,Аккумуляторная дрель-шуруповерт PROCRAFT PA12PRO,10 мм,,20 Нм,,1,,1.4 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1306,Трещотка Ryobi ONE+ R18RW2-0 5133004833,,,60 Нм,,17,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,,,,нет,,,,,,1/4 дюйма,,есть,,,щеточный,квадрат с подпружиненным шариком,коробка,
1307,Аккумуляторная ударная дрель-шуруповерт Zitrek Crusher 14-Li 063-4054,,,30 Нм,,45,,1.2 кг,,есть,,,,,,12 В,,,,,Li-Ion,,,,
1308,Угловой гайковерт DCA ADPB02-10 (TYPE Z),,,45 Нм,,,Количество аккумуляторов в комплекте: нет,,,,,,,,,,,,есть,DC12V MAX,,щеточный,квадрат с подпружиненным шариком,сумка,
1309,Трещотка Ryobi ONE+ R18RW3-0 5133004870,,,60 Нм,,,Количество аккумуляторов в комплекте: нет,,,,,,,,,,3/8 дюйма,,есть,,,щеточный,квадрат с подпружиненным шариком,коробка,
1310,"Трещотка бесщеточная AEG BSS18R14BL-0 1/4"", 18В 4935480974",,,61 Нм,14 М,6,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,,,,нет,,,,,,1/4 дюйма,,нет,AEG PRO18V,,бесщеточный,квадрат с подпружиненным шариком,коробка,
1311,Ударный шуруповерт Makita LXT DTD156RFE,,,155 Нм,,8,,1.3 кг,,есть,,,,,,18 В,,,,,Li-Ion,,,,
1312,"Трещотка аккумуляторная SENIX X2 20V, 1/2"", 75Нм PDWX2-M13-EU",,,75 Нм,14 М,,"Компактный дизайн, низкопрофильная головка – для работы в труднодоступных местах",,,,1,,,,,,1/2 дюйма,,есть,SENIX X2,,щеточный,квадрат с подпружиненным шариком,коробка,
1313,Аккумуляторная дрель-шуруповерт Makita HP333DWME,10 мм,,30 Нм,,12,,1.3 кг,,есть,,,21 мм,8 мм,,10.8 В,,,,,Li-Ion,,,,
1314,Угловой гайковерт Makita LXT 18V без аккумулятора и ЗУ DWR180Z,,,47.5 Нм,,21,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,,,,нет,,,,,,1/4 и 3/8 дюйма,,есть,Makita LXT,,щеточный,квадрат с подпружиненным шариком,,
1315,Аккумуляторная трещотка Sturm 1BatterySystem12V CRW1260,,,60 Нм,,4,,,,,нет,,,,,,3/8 дюйма,,нет,Sturm 1BatterySystem12V,,щеточный,квадрат,коробка,
1316,Аккумуляторный шуруповерт OASIS ASU-18A 4640130908034,16 мм,,50 Нм,,2,,1.7 кг,,есть,,15 мм,30 мм,,,18 В,,,,,Li-Ion,,,,
1317,Аккумуляторный ключ-трещотка Durofix 12V RW1221-2 RW1221-2-PM,,,40 Нм,,,Количество аккумуляторов в комплекте: 1,,,,,,,,,,1/4 дюйма,,нет,G12 Series 12V,,бесщеточный,квадрат,коробка,
1318,Угловой гайковерт Makita LXT 18V DWR180RF,,,47.5 Нм,,5,,,,,1,,,,,,1/4 и 3/8 дюйма,,есть,,,щеточный,квадрат с подпружиненным шариком,,
1319,Аккумуляторный ключ-трещотка Durofix 12V RW1209 RW1209-PM,,,60 Нм,,,Количество аккумуляторов в комплекте: 1,,,,,,,,,,3/8 дюйма,,нет,G12 Series 12V,,щеточный,квадрат,коробка,
1320,Аккумуляторный ключ-трещотка Durofix 12V RW1210-4 RW1210-4-PM,,,95 Нм,,,Количество аккумуляторов в комплекте: 1,,,,,,,,,,1/2 дюйма,,нет,G12 Series 12V,,щеточный,квадрат,коробка,
1321,Угловой гайковерт Makita CXT 12 В WR100DZ,,,47.5 Нм,12 М,8,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,,,,нет,,,,,,1/4 и 3/8 дюйма,,есть,Makita CXT,,щеточный,квадрат с подпружиненным шариком,,
1322,Аккумуляторная дрель-шуруповерт DCA ADJZ1202 (TYPE TS),10 мм,,,,,Max крутящий момент : 35 Нм,4.1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1323,Аккумуляторная дрель-шуруповерт DCA ADJZ1202i (TYPE E),10 мм,,,,,Max крутящий момент : 35 Нм,1 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1324,Дрель шуруповерт аккумуляторная бесщеточная KEYANG 70 Нм DD20BLA-70C (Bare) 6997734532,13 мм,,70 Нм,,4,Поставляется без аккумулятора и зарядного устройства – вы не переплачиваете,1.8 кг,,нет,,,40 мм,,,18 В,,,,,Li-Ion,,,,
1325,"Дрель-шуруповерт WORX Professional аккумуляторный ударный бесщеточный 12В, 40Нм, 2Ач х2, ЗУ, сумка WU131X",10 мм,,40 Нм,,39,Сразу приступайте к работе: 2 аккумулятора и зарядное устройство в комплекте,0.78 кг,,есть,,,20 мм,8 мм,,12 В,,,,,Li-Ion,,,,
1326,Бесщеточная аккумуляторная дрель-шуруповерт KEYANG DD18BL-W,13 мм,,55 Нм,,7,Наличие реверса облегчает извлечение заклинившего сверла,1.1 кг,,есть,,,36 мм,,,18 В,,,,,Li-Ion,,,,
1327,"Аккумуляторная дрель-шуруповерт WORX Professional 12В, 38Нм, 2Ач х2 + 1,5 А WE210.2",10 мм,,38 Нм,,10,"Небольшой вес 0,7 кг – минимальная нагрузка на руки",0.7 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1328,Аккумуляторная дрель-шуруповерт GRAPHITE Energy+ 58g000,,,44 Нм,,20,"Малый вес 1,05 кг при высоком крутящем моменте 44 Нм – легкость и мощность",1.05 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1329,Ударная дрель-шуруповерт GRAPHITE Energy+ 58g010,,,55 Нм,,6,Планетарная передача из высокосортной стали обеспечивает хороший рабочий ресурс,1.3 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1330,Аккумуляторная бесщеточная дрель-шуруповерт с ударом GRAPHITE Energy+ 18 V 58G020,,,58 Нм,,5,Поставляется без аккумулятора и зарядного устройства — вы не переплачиваете,1.2 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1331,Аккумуляторная дрель-шуруповерт DCA ADJZ2035 (TYPE ADM),10 мм,,,,,Max крутящий момент : 40 Нм,1.3 кг,,есть,,,20 мм,,,20 В,,,,,Li-Ion,,,,
1332,Дрель шуруповерт ударная аккумуляторная бесщеточная KEYANG 55 Нм DM18BLW (Set) 5997726857,13 мм,,,,,Max крутящий момент : 55 Нм,3.63 кг,,есть,,13 мм,36 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1333,Аккумуляторная дрель-шуруповерт ATLET CDT212D.1,10 мм,,25 Нм,,,LED-подсветка позволяет работать в условиях плохой видимости,1 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1334,Аккумуляторная дрель-шуруповерт AEG Compact BSB18C2 LI-202C 4935459722,13 мм,,50 Нм,,11,Металлический быстрозажимной патрон 13 мм,1.7 кг,,есть,,,40 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1335,Аккумуляторная дрель-шуруповерт ATLET CDT212D,10 мм,,25 Нм,,,Легкий вес и прорезиненная рукоятка делают инструмент удобным при работе,1 кг,,нет,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1336,Аккумуляторная ударная дрель-шуруповерт TOTAL Li-ion TIDLI1232,10 мм,,20 Нм,,1,,2 кг,,есть,,,20 мм,10 мм,,12 В,,,,,Li-Ion,,,,
1337,Аккумуляторный ударный винтоверт TOTAL TIRLI2002,,,200 Нм,,7,,,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1338,Аккумуляторная бесщеточная дрель-шуруповерт GRAPHITE Energy+ 58G019,,,58 Нм,,6,Бесщеточный двигатель: выше мощность и дольше время работы,1.2 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1339,Аккумуляторная дрель-шуруповерт AEG Compact BS18C2X LI-202C 4935459423,13 мм,,70 Нм,,12,Фиксация биты в шпинделе под патроном для быстрой замены оснастки,1.72 кг,,есть,,,40 мм,,,18 В,,,,,Li-Ion,,,,
1340,Аккумуляторная дрель-шуруповерт WORX Professional WU182,13 мм,,60 Нм,,14,Сразу приступайте к работе: 2 аккумулятора и зарядное устройство в комплекте,0.95 кг,,есть,,,35 мм,,,20 В,,,,,Li-Ion,,,,
1341,Аккумуляторная ударная дрель-шуруповерт WORX Professional WU369,10 мм,,60 Нм,,15,Сразу приступайте к работе: 2 аккумулятора и зарядное устройство в комплекте,2.5 кг,,есть,,10 мм,35 мм,13 мм,,20 В,,,,,Li-Ion,,,,
1342,Аккумуляторный ударный винтоверт WORX Professional WU290.1,,,230 Нм,,14,Работа дольше на 50% в сравнении с щеточными аналогами,1.5 кг,,есть,,,,,,20 В,,,,,Li-Ion,,,,
1343,Аккумуляторная дрель-шуруповерт Makita CXT + набор бит D-31083 DF333DYX14,10 мм,,30 Нм,,183,Максимальный диаметр сверления отверстий в дереве – 21 мм,1.1 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
1344,Аккумуляторная дрель-шуруповерт GRAPHITE Energy+ 58g006,,,55 Нм,,7,Крутящий момент до 55 Нм – максимум возможностей в работе с крепежом,1.3 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1345,Дрель-шуруповерт аккумуляторная ARMA с набором аксессуаров ACD-2016,3 мм,,55 Нм,,3,,1 кг,,есть,,,5 мм,,,16.8 В,,,,,Li-Ion,,,,
1346,Аккумуляторная дрель-шуруповерт VERTO 50G273,10 мм,,,,,Max крутящий момент : 35 Нм,,,есть,,,,,,10.8 В,,,,,Li-Ion,,,,
1347,Дрель-шуруповерт Ryobi 12В RCD1201-220S 5133005059,10 мм,,25 Нм,,5,Работайте дольше – в комплекте 2 аккумулятора,1.1 кг,,есть,,,25 мм,,,12 В,,,,,Li-Ion,,,,
1348,Винтоверт GRAPHITE Energy+ 58g012,,,180 Нм,,13,Аккуратное завинчивание благодаря тангенциальному удару,1.2 кг,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1349,Аккумуляторная дрель EDON AD-16CBL 28006,10 мм,,30 Нм,,4,,0.8 кг,,есть,,,,,,16 В,,,,,Li-Ion,,,,
1350,Ударная дрель-шуруповерт Ryobi 18В RPD18-2C42S 5133005525,13 мм,,52 Нм,,5,,1.2 кг,,есть,,13 мм,38 мм,,,18 В,,,,,Li-Ion,,,,
1351,Аккумуляторная дрель-шуруповерт DCA ADJZ10-10,10 мм,,30 Нм,,6,Оптимальная развесовка для длительной работы,0.85 кг,,есть,,,20 мм,,,12 В,,,,,Li-Ion,,,,
1352,Дрель-шуруповерт Ryobi 18В RDD18-2C52S 5133005522,13 мм,,52 Нм,,7,,1.1 кг,,есть,,,38 мм,,,18 В,,,,,Li-Ion,,,,
1353,Аккумуляторная дрель-шуруповерт Makita CXT DF333DWME,10 мм,,30 Нм,,73,,1.1 кг,,есть,,,21 мм,,,12 В,,,,,Li-Ion,,,,
1354,Аккумуляторная ударная дрель-шуруповерт WORX Professional WU373.2,13 мм,,,,,Max крутящий момент : 95 Нм,1.25 кг,,есть,,16 мм,55 мм,16 мм,,20 В,,,,,Li-Ion,,,,
1355,Аккумуляторный шуруповерт Sturm CD1880,,,80 Нм,,9,,,,нет,,,,,,18 В,,,,,Li-Ion,,,,
1356,Бесщеточный ударный аккумуляторный винтоверт GRAPHITE Energy+ 58G024,,,200 Нм,,7,Поставляется без аккумулятора и зарядного устройства - Вы не переплачиваете,1.212 кг,,нет,,,,,,18 В,,,,,,,,,
1357,Аккумуляторная дрель-шуруповерт Verto 50G185,10 мм,,26 Нм,,,Никель-цинковый аккумулятор с повышенной мощностью и без эффекта памяти,1.4 кг,,есть,,,14 мм,,,14.4 В,,,,,Ni-Zn,,,,
1358,Аккумуляторная дрель-шуруповерт VERTO + фонарь VERTO 50G293,10 мм,,,,,Тип аккумулятора: Li-Ion,1.2 кг,,есть,,,30 мм,,,20 В,,,,,,,,,
1359,Ударная бесщеточная дрель-шуруповерт Ryobi ONE+ RPD18C-242S 5133004983,13 мм,,54 Нм,,5,Встроенный светодиод – освещение рабочей зоны в условиях плохой видимости,1.5 кг,,есть,,,38 мм,13 мм,,18 В,,,,,Li-Ion,,,,
1360,Аккумуляторная дрель-шуруповерт VERTO 50G284,10 мм,,,,,Max крутящий момент : 35 Нм,,,есть,,,,,,14.4 В,,,,,Li-Ion,,,,
1361,Аккумуляторная дрель-шуруповерт VERTO 50G285,10 мм,,,,,Max крутящий момент : 35 Нм,,,есть,,,,,,14.4 В,,,,,Li-Ion,,,,
1362,Аккумуляторная дрель-шуруповерт Verto 50G187,10 мм,,29 Нм,,,Никель-цинковый аккумулятор с повышенной мощностью и без эффекта памяти,1.5 кг,,есть,,,16 мм,,,18 В,,,,,Ni-Zn,,,,
